PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,flag_invalid_date_order,flag_delivered_no_date,flag_nondelivered_has_date,Lead_Time_Days,Order_Value,Savings_Amount,Savings_Rate_%,Defect_Rate_%,Category_Lead_Time_Benchmark,Is_On_Time
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22.0,Yes,False,False,True,18.0,242250.0,30249.999999999985,11.1,0.44,11.0,0.0
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,,Yes,False,False,False,15.0,75600.0,1450.0000000000045,1.88,,11.0,0.0
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172.0,No,False,False,False,19.0,65089.770000000004,7096.649999999997,9.83,14.66,12.0,0.0
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,,Yes,False,False,False,8.0,46611.81,801.2699999999976,1.69,,10.0,1.0
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79.0,Yes,False,False,True,3.0,151761.69,17647.919999999995,10.42,4.55,10.0,1.0
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,,No,False,False,False,15.0,7000.2,1233.0000000000002,14.98,,10.0,0.0
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Electronics,Cancelled,1735,20.54,19.69,49.0,Yes,False,False,True,15.0,34162.15,1474.7499999999964,4.14,2.82,11.0,0.0
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,,Yes,False,False,False,13.0,32822.5,1630.7599999999995,4.73,,10.0,0.0
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29.0,Yes,False,False,False,16.0,63087.57,3161.3399999999997,4.77,3.54,12.0,0.0
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,False,False,True,6.0,26059.83,2444.4599999999996,8.58,10.69,10.0,1.0
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,False,False,False,12.0,31440.85,1893.6500000000012,5.68,10.29,12.0,1.0
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,,Yes,False,False,False,11.0,25635.879999999997,2840.17,9.97,,11.0,1.0
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,False,False,False,20.0,57421.799999999996,9439.200000000006,14.12,1.99,12.0,0.0
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,False,False,False,9.0,6890.4,561.1499999999996,7.53,1.84,10.0,1.0
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,False,False,False,17.0,100529.55,13649.350000000008,11.95,14.78,12.0,0.0
PO-00030,Epsilon_Group,2023-08-27,,MRO,Delivered,1005,80.55,73.31,30.0,Yes,False,True,False,,73676.55,7276.199999999995,8.99,2.99,12.0,
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,,No,False,False,False,14.0,5189.92,710.6800000000005,12.04,,11.0,0.0
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,False,False,False,8.0,19324.44,2443.3200000000006,11.22,2.11,10.0,1.0
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,False,False,False,16.0,49790.38,1756.0500000000015,3.41,3.73,12.0,0.0
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,False,False,False,1.0,60625.770000000004,6935.0,10.26,1.95,11.0,1.0
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,False,False,False,8.0,3065.78,227.91000000000005,6.92,0.0,12.0,1.0
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,False,False,False,8.0,24619.039999999997,1875.4200000000023,7.08,2.98,10.0,1.0
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes,False,False,True,19.0,72821.89,6511.490000000002,8.21,2.26,10.0,0.0
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes,False,False,True,18.0,82355.40000000001,9340.85999999999,10.19,10.38,10.0,0.0
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,False,False,False,14.0,124429.1,7156.919999999993,5.44,3.06,10.0,0.0
PO-00040,Epsilon_Group,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,False,True,False,,20776.6,3474.1200000000013,14.33,2.67,10.0,
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,False,False,False,12.0,17387.52,2739.440000000002,13.61,8.48,11.0,0.0
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,False,False,False,9.0,43607.200000000004,1831.1999999999978,4.03,6.07,10.0,1.0
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,False,False,False,8.0,102492.0,9599.849999999999,8.56,4.84,11.0,1.0
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,False,False,False,7.0,65708.58,10037.519999999995,13.25,3.1,12.0,1.0
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,False,False,False,18.0,70525.84,2179.5899999999974,3.0,16.42,12.0,0.0
PO-00046,Alpha_Inc,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,False,True,False,,19731.25,1906.4999999999993,8.81,1.46,11.0,
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,False,False,False,7.0,94303.36,16629.760000000002,14.99,10.29,10.0,1.0
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,False,False,False,16.0,2695.92,43.02000000000036,1.57,1.67,10.0,0.0
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,False,False,True,19.0,46382.420000000006,6424.659999999995,12.17,16.58,10.0,0.0
PO-00050,Alpha_Inc,2023-04-16,,MRO,Pending,736,16.2,15.33,18.0,Yes,False,False,False,,11282.88,640.3199999999995,5.37,2.45,12.0,
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,,Yes,False,False,False,10.0,19727.13,2990.789999999999,13.16,,11.0,1.0
PO-00052,Delta_Logistics,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,False,True,False,,12087.0,758.8799999999991,5.91,16.67,10.0,
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No,False,False,True,10.0,123293.73999999999,18067.230000000007,12.78,2.46,12.0,1.0
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No,False,False,True,6.0,125312.4,2476.4000000000083,1.94,15.98,10.0,1.0
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes,False,False,False,18.0,79704.84000000001,10022.36999999999,11.17,10.33,11.0,0.0
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes,False,False,False,2.0,83739.05,5189.09,5.84,3.41,10.0,1.0
PO-00057,Delta_Logistics,2023-10-06,,Packaging,Delivered,1578,48.33,42.77,206.0,Yes,False,True,False,,67491.06,8773.679999999993,11.5,13.05,11.0,
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,,Yes,False,False,False,5.0,42669.759999999995,4635.4000000000015,9.8,,12.0,1.0
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39.0,Yes,False,False,True,16.0,142198.66,3412.0199999999963,2.34,2.5,12.0,0.0
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes,False,False,False,1.0,54508.52,7908.560000000006,12.67,1.85,11.0,1.0
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes,False,False,False,16.0,62765.280000000006,6549.359999999998,9.45,3.59,11.0,0.0
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes,False,False,True,11.0,772.8,93.10000000000001,10.75,14.29,12.0,1.0
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,False,False,False,2.0,82894.6,4556.800000000004,5.21,5.51,10.0,1.0
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes,False,False,False,16.0,2658.96,354.2399999999997,11.76,2.31,12.0,0.0
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes,False,False,False,3.0,127022.09999999999,7853.0099999999975,5.82,14.85,11.0,1.0
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No,False,False,True,3.0,24668.65,1337.219999999998,5.14,5.72,10.0,1.0
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes,False,False,False,2.0,57382.0,10114.000000000002,14.98,1.85,11.0,1.0
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes,False,False,False,19.0,5624.65,510.9999999999995,8.33,10.41,10.0,0.0
PO-00069,Epsilon_Group,2022-08-27,,Raw Materials,Cancelled,63,61.94,53.8,,Yes,False,False,False,,3389.3999999999996,512.82,13.14,,10.0,
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes,False,False,False,8.0,25322.82,3398.880000000002,11.83,3.09,12.0,1.0
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18.0,Yes,False,False,True,14.0,47230.68,2742.32,5.49,2.18,12.0,0.0
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194.0,Yes,False,False,True,20.0,84118.32,14700.839999999998,14.88,13.67,11.0,0.0
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes,False,False,False,17.0,45405.3,2523.5399999999995,5.27,6.51,10.0,0.0
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes,False,False,False,15.0,51374.75,1894.0,3.56,2.01,11.0,0.0
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,,Yes,False,False,False,19.0,98415.45000000001,1158.6599999999903,1.16,,10.0,0.0
PO-00076,Alpha_Inc,2022-06-16,,Office Supplies,Partially Delivered,141,64.15,58.32,,Yes,False,False,False,,8223.12,822.0300000000008,9.09,,10.0,
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes,False,False,False,20.0,120772.8,18287.999999999985,13.15,2.5,10.0,0.0
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,,No,False,False,False,4.0,12853.949999999999,2090.4,13.99,,10.0,1.0
PO-00079,Alpha_Inc,2022-08-03,,MRO,Delivered,1528,36.52,33.0,31.0,No,False,True,False,,50424.0,5378.560000000005,9.64,2.03,12.0,
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No,False,False,False,7.0,151585.99,7595.060000000003,4.77,5.13,12.0,1.0
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,,No,False,False,False,3.0,45421.200000000004,7131.240000000001,13.57,,11.0,1.0
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,,Yes,False,False,False,6.0,41943.0,4982.999999999999,10.62,,12.0,1.0
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9.0,Yes,False,False,True,6.0,5999.28,164.63999999999947,2.67,10.71,11.0,1.0
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No,False,False,False,15.0,8565.45,1287.7499999999993,13.07,10.59,10.0,0.0
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes,False,False,False,16.0,30084.78,1304.0199999999988,4.15,5.03,12.0,0.0
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,False,False,False,8.0,88894.95,4152.899999999999,4.46,16.02,10.0,1.0
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No,False,False,False,10.0,78033.4,11806.150000000001,13.14,14.29,10.0,1.0
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No,False,False,True,15.0,92612.79,1022.7000000000041,1.09,15.61,12.0,0.0
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,False,False,False,8.0,17329.0,2590.75,13.01,13.67,11.0,1.0
PO-00090,Alpha_Inc,2022-09-08,,Packaging,Delivered,1071,101.6,93.91,25.0,Yes,False,True,False,,100577.61,8235.989999999998,7.57,2.33,11.0,
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43.0,Yes,False,False,True,19.0,126066.71,22032.780000000002,14.88,2.94,11.0,0.0
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes,False,False,False,7.0,45313.200000000004,2841.2999999999943,5.9,11.22,10.0,1.0
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,,Yes,False,False,False,18.0,66354.12,6437.340000000001,8.84,,11.0,0.0
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes,False,False,True,5.0,69427.35,3560.8499999999995,4.88,2.44,11.0,1.0
PO-00095,Beta_Supplies,2023-10-18,,Electronics,Cancelled,1895,91.98,86.27,170.0,Yes,False,False,False,,163481.65,10820.450000000015,6.21,8.97,11.0,
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No,False,False,True,3.0,107833.49999999999,15949.50000000001,12.89,2.06,12.0,1.0
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,,No,False,False,False,10.0,18326.24,1864.9600000000003,9.24,,11.0,1.0
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes,False,False,False,19.0,40621.57,2313.630000000004,5.39,4.66,11.0,0.0
PO-00099,Beta_Supplies,2023-12-03,,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes,False,True,False,,70826.68000000001,2157.8299999999967,2.96,8.47,10.0,
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187.0,No,False,False,True,15.0,140810.76,22512.780000000013,13.78,11.48,12.0,0.0
PO-00102,Alpha_Inc,2022-08-23,,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,False,True,False,,16184.480000000001,755.5099999999977,4.46,0.8,10.0,
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes,False,False,False,16.0,46659.25,3375.350000000004,6.75,6.6,10.0,0.0
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes,False,False,False,20.0,28438.850000000002,3027.3099999999986,9.62,17.87,12.0,0.0
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes,False,False,True,14.0,178576.63999999998,2749.1200000000035,1.52,3.0,10.0,0.0
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135.0,No,False,False,True,20.0,11366.1,1349.399999999999,10.61,15.61,12.0,0.0
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes,False,False,False,3.0,14609.279999999999,2190.720000000001,13.04,3.27,11.0,1.0
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62.0,Yes,False,False,True,19.0,20386.85,2550.2500000000023,11.12,12.28,10.0,0.0
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No,False,False,False,1.0,120159.8,19264.249999999996,13.82,9.84,11.0,1.0
PO-00110,Beta_Supplies,2022-11-19,,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes,False,True,False,,173286.0,13554.000000000002,7.25,9.22,10.0,
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,Raw Materials,Pending,1325,24.36,22.75,206.0,Yes,False,False,True,9.0,30143.75,2133.249999999999,6.61,15.55,10.0,1.0
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No,False,False,False,6.0,70228.08,4871.620000000008,6.49,5.25,10.0,1.0
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes,False,False,False,15.0,81401.5,3479.0000000000014,4.1,10.14,10.0,0.0
PO-00114,Gamma_Co,2023-02-10,,Raw Materials,Partially Delivered,345,103.62,98.09,25.0,No,False,False,False,,33841.05,1907.8500000000004,5.34,7.25,10.0,
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,,Yes,False,False,False,19.0,165110.34,5340.059999999998,3.13,,11.0,0.0
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes,False,False,False,16.0,66556.95,4083.3900000000017,5.78,2.21,12.0,0.0
PO-00117,Alpha_Inc,2022-05-27,,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,False,True,False,,86526.78,10458.279999999992,10.78,2.14,11.0,
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes,False,False,False,14.0,17573.67,1478.3400000000001,7.76,15.76,11.0,0.0
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes,False,False,False,4.0,30178.56,2579.8399999999947,7.88,2.8,12.0,1.0
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes,False,False,True,11.0,16856.22,799.459999999999,4.53,2.4,11.0,1.0
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,Raw Materials,Cancelled,841,95.73,85.33,81.0,Yes,False,False,True,16.0,71762.53,8746.400000000005,10.86,9.63,10.0,0.0
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes,False,False,False,13.0,155111.25,25735.50000000001,14.23,10.33,11.0,0.0
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes,False,False,False,18.0,26983.04,672.9800000000002,2.43,2.26,10.0,0.0
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,Raw Materials,Cancelled,813,109.17,107.39,14.0,Yes,False,False,True,3.0,87308.07,1447.140000000001,1.63,1.72,10.0,1.0
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes,False,False,False,11.0,13985.369999999999,1227.6599999999999,8.07,2.95,11.0,1.0
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,Office Supplies,Cancelled,429,86.73,75.09,9.0,Yes,False,False,True,13.0,32213.61,4993.56,13.42,2.1,10.0,0.0
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No,False,False,False,1.0,50465.62,4390.199999999997,8.0,14.39,11.0,1.0
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes,False,False,False,18.0,95280.42,6828.819999999995,6.69,3.14,11.0,0.0
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes,False,False,False,2.0,37945.5,3124.199999999999,7.61,2.11,12.0,1.0
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes,False,False,False,12.0,3256.32,43.51999999999998,1.32,7.81,12.0,1.0
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,,Yes,False,False,False,16.0,43717.479999999996,528.0800000000022,1.19,,12.0,0.0
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes,False,False,False,2.0,11575.560000000001,226.85999999999942,1.92,12.28,10.0,1.0
PO-00133,Delta_Logistics,2022-04-04,2022-04-22,Electronics,Cancelled,1930,65.52,56.9,282.0,Yes,False,False,True,18.0,109817.0,16636.599999999995,13.16,14.61,11.0,0.0
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,Office Supplies,Pending,1912,30.73,29.82,191.0,Yes,False,False,True,10.0,57015.840000000004,1739.9200000000003,2.96,9.99,10.0,1.0
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,MRO,Delivered,570,71.51,66.47,,Yes,False,False,False,16.0,37887.9,2872.8000000000034,7.05,,12.0,0.0
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,Raw Materials,Delivered,1417,67.27,60.62,,Yes,False,False,False,20.0,85898.54,9423.049999999997,9.89,,10.0,0.0
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,Raw Materials,Delivered,1202,46.67,44.13,21.0,No,False,False,False,6.0,53044.26,3053.079999999999,5.44,1.75,10.0,1.0
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,Office Supplies,Delivered,697,20.73,19.83,78.0,No,False,False,False,1.0,13821.509999999998,627.3000000000014,4.34,11.19,10.0,1.0
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,MRO,Delivered,1545,78.19,76.91,42.0,Yes,False,False,False,3.0,118825.95,1977.6000000000017,1.64,2.72,12.0,1.0
PO-00140,Gamma_Co,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes,False,False,True,4.0,66172.0,2908.1600000000026,4.21,5.46,12.0,1.0
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,MRO,Delivered,1212,87.46,74.55,118.0,No,False,False,False,4.0,90354.59999999999,15646.919999999996,14.76,9.74,12.0,1.0
PO-00142,Epsilon_Group,2022-03-07,2022-03-12,MRO,Delivered,1572,57.38,49.32,40.0,Yes,False,False,False,5.0,77531.04,12670.320000000003,14.05,2.54,12.0,1.0
PO-00143,Gamma_Co,2023-01-30,2023-02-09,Electronics,Delivered,642,91.9,81.49,26.0,Yes,False,False,False,10.0,52316.579999999994,6683.220000000007,11.33,4.05,11.0,1.0
PO-00144,Epsilon_Group,2023-01-26,2023-02-04,Office Supplies,Delivered,441,63.25,54.12,16.0,Yes,False,False,False,9.0,23866.92,4026.3300000000013,14.43,3.63,10.0,1.0
